YEAR,MO,DY,T2M,PS,WS10M,WD10M
2000,12,1,11.81,87.39,3.2,226.31
2000,12,2,10.55,87.54,3.36,314.0
2000,12,3,8.64,87.56,2.72,310.75
2000,12,4,10.33,87.43,2.8,217.62
2000,12,5,9.24,87.39,3.91,224.06
2000,12,6,10.44,87.36,5.16,219.56
2000,12,7,10.76,87.26,8.83,210.69
2000,12,8,10.19,87.21,5.41,226.31
2000,12,9,8.49,87.56,5.19,25.5
2000,12,10,7.2,87.95,3.46,54.88
2000,12,11,9.28,88.18,1.84,157.44
2000,12,12,9.25,88.27,1.84,232.06
2000,12,13,8.69,88.16,2.33,156.81
2000,12,14,7.17,87.78,3.87,223.19
2000,12,15,5.74,87.21,3.27,187.56
2000,12,16,4.93,87.12,2.88,27.44
2000,12,17,6.57,87.25,2.23,219.94
2000,12,18,4.19,87.42,3.58,231.19
2000,12,19,3.3,87.13,4.98,192.19
2000,12,20,1.72,86.46,5.44,208.06
2000,12,21,3.21,86.44,4.58,228.94
2000,12,22,4.65,86.1,9.3,208.25
2000,12,23,4.3,86.42,4.73,228.19
2000,12,24,5.43,86.34,6.92,211.31
2000,12,25,5.87,86.38,5.05,242.75
2000,12,26,8.5,86.01,6.98,222.31
2000,12,27,5.26,86.14,9.62,281.81
2000,12,28,6.22,87.04,7.15,305.12
2000,12,29,6.08,87.2,6.81,308.44
2000,12,30,7.34,87.13,7.52,298.38
2000,12,31,6.22,87.26,6.03,281.75
2001,1,1,7.54,87.15,5.84,213.5
2001,1,2,7.78,87.23,4.33,224.0
2001,1,3,7.88,87.44,2.99,169.94
2001,1,4,9.18,87.58,2.48,206.81
2001,1,5,10.08,87.38,5.02,214.0
2001,1,6,8.55,86.87,6.26,251.06
2001,1,7,3.74,86.98,5.55,334.38
2001,1,8,2.13,87.26,3.94,213.88
2001,1,9,3.3,87.29,5.63,216.81
2001,1,10,4.34,87.34,4.98,218.5
2001,1,11,4.78,86.99,6.94,213.44
2001,1,12,3.12,86.34,6.1,245.5
2001,1,13,4.04,86.71,8.25,325.38
2001,1,14,4.3,87.04,5.41,333.12
2001,1,15,4.23,87.04,2.35,281.06
2001,1,16,4.03,87.17,3.74,269.94
2001,1,17,5.21,87.51,3.23,283.75
2001,1,18,6.17,87.41,4.76,245.06
2001,1,19,4.25,87.48,6.62,313.19
2001,1,20,4.42,87.7,3.84,259.75
2001,1,21,6.17,87.68,3.7,194.5
2001,1,22,6.76,87.6,4.59,235.31
2001,1,23,7.2,87.67,3.56,287.0
2001,1,24,9.1,87.54,3.38,235.19
2001,1,25,7.07,87.37,4.57,302.06
2001,1,26,4.97,87.51,5.36,328.19
2001,1,27,5.37,87.32,4.95,307.19
2001,1,28,6.62,86.73,8.3,291.12
2001,1,29,3.26,86.75,12.51,331.88
2001,1,30,3.07,87.27,7.24,338.31
2001,1,31,3.38,87.37,5.12,333.25
2001,2,1,5.28,87.41,5.76,333.69
2001,2,2,7.15,87.47,2.32,139.56
2001,2,3,7.14,87.48,3.98,233.12
2001,2,4,7.04,87.44,4.98,242.31
2001,2,5,6.51,87.48,3.12,267.81
2001,2,6,7.19,87.38,5.59,211.44
2001,2,7,6.06,87.11,6.97,221.0
