YEAR,MO,DY,T2M_MAX,WS10M,WS50M
2001,12,1,17.38,2.16,3.02
2001,12,2,17.92,2.73,3.84
2001,12,3,15.8,2.37,3.24
2001,12,4,15.97,1.65,2.39
2001,12,5,17.43,2.34,3.33
2001,12,6,16.94,2.21,2.98
2001,12,7,16.64,3.45,5.2
2001,12,8,15.05,2.74,4.38
2001,12,9,14.57,2.39,3.66
2001,12,10,10.51,6.61,8.4
2001,12,11,11.06,6.85,9.2
2001,12,12,6.51,7.09,9.15
2001,12,13,12.51,3.01,4.54
2001,12,14,16.12,3.52,4.55
2001,12,15,16.32,4.08,5.73
2001,12,16,14.64,3.24,5.07
2001,12,17,11.94,5.45,7.09
2001,12,18,7.62,6.86,8.63
2001,12,19,10.31,2.4,3.14
2001,12,20,8.98,5.26,6.67
2001,12,21,10.68,6.29,8.19
2001,12,22,13.23,7.73,10.45
2001,12,23,15.3,8.02,10.79
2001,12,24,14.66,7.91,10.37
2001,12,25,15.33,4.29,6.41
2001,12,26,13.61,4.55,6.25
2001,12,27,13.1,3.46,4.65
2001,12,28,13.53,2.78,4.3
2001,12,29,16.43,4.46,6.91
2001,12,30,16.28,4.45,7.31
2001,12,31,17.78,4.33,6.74
2002,1,1,18.98,4.91,7.35
2002,1,2,12.31,6.26,8.72
2002,1,3,15.54,4.71,6.59
2002,1,4,14.69,3.3,5.21
2002,1,5,12.29,4.09,5.96
2002,1,6,9.82,4.59,5.98
2002,1,7,6.95,6.16,8.48
2002,1,8,9.94,5.69,8.21
2002,1,9,14.19,5.98,8.96
2002,1,10,15.05,5.22,8.37
2002,1,11,14.56,2.88,4.58
2002,1,12,14.61,3.19,4.71
2002,1,13,14.27,1.62,2.23
2002,1,14,15.79,4.27,6.2
2002,1,15,12.73,3.19,4.45
2002,1,16,12.35,3.05,4.68
2002,1,17,13.75,2.24,2.94
2002,1,18,12.48,3.09,4.37
2002,1,19,9.7,3.96,5.53
2002,1,20,11.82,2.76,3.95
2002,1,21,12.84,4.48,6.83
2002,1,22,14.7,2.98,4.01
2002,1,23,17.25,4.14,6.14
2002,1,24,14.86,4.48,6.6
2002,1,25,17.88,3.27,4.84
2002,1,26,17.47,3.07,4.03
2002,1,27,19.65,1.95,2.75
2002,1,28,18.62,2.76,3.71
2002,1,29,18.26,3.99,5.83
2002,1,30,18.13,4.36,6.35
2002,1,31,16.95,3.8,5.73
2002,2,1,18.46,2.8,4.16
2002,2,2,17.09,4.13,6.05
2002,2,3,17.73,4.26,6.5
2002,2,4,15.98,4.59,6.57
2002,2,5,16.28,3.05,4.24
2002,2,6,11.89,7.28,9.77
2002,2,7,7.68,8.99,11.38
2002,2,8,11.87,4.53,5.92
2002,2,9,17.41,2.45,3.41
2002,2,10,19.96,2.5,3.34
2002,2,11,22.24,1.79,2.36
2002,2,12,21.59,4.33,6.58
2002,2,13,21.64,4.34,6.81
2002,2,14,22.59,4.19,6.27
2002,2,15,16.5,3.68,5.58
2002,2,16,19.22,4.84,7.55
2002,2,17,16.85,5.79,8.77
2002,2,18,14.95,4.48,6.15
2002,2,19,13.12,6.74,8.01
2002,2,20,13.44,3.74,4.83
2002,2,21,13.88,5.8,8.12
2002,2,22,14.6,6.15,8.03
2002,2,23,16.1,2.88,3.95
2002,2,24,17.88,2.88,3.98
2002,2,25,18.93,3.87,5.52
2002,2,26,20.51,2.66,3.44
2002,2,27,22.75,3.26,4.61
2002,2,28,21.94,4.55,6.91
2002,3,1,20.47,7.34,10.49
2002,3,2,21.0,3.92,5.87
2002,3,3,21.02,6.08,8.8
2002,3,4,16.35,5.88,7.63
2002,3,5,8.85,5.14,6.64
2002,3,6,9.33,3.7,4.77
2002,3,7,6.47,3.21,3.95
2002,3,8,9.47,4.51,5.31
2002,3,9,12.08,4.56,6.03
2002,3,10,16.83,1.62,2.39
2002,3,11,17.69,5.46,8.41
2002,3,12,18.4,6.66,9.77
2002,3,13,19.6,7.62,10.26
2002,3,14,14.11,5.09,7.28
2002,3,15,17.69,4.17,6.2
2002,3,16,17.53,9.46,12.25
2002,3,17,12.4,8.75,11.23
2002,3,18,18.01,3.25,4.8
2002,3,19,22.76,2.56,3.41
2002,3,20,24.91,2.47,3.63
2002,3,21,23.94,3.79,5.41
2002,3,22,23.78,4.36,6.84
2002,3,23,25.35,3.05,4.77
2002,3,24,24.87,3.6,5.52
2002,3,25,25.08,2.89,4.01
2002,3,26,26.9,3.55,4.72
2002,3,27,26.45,5.05,6.9
2002,3,28,21.38,9.13,11.94
2002,3,29,18.33,4.76,6.26
2002,3,30,23.17,4.88,6.95
2002,3,31,19.4,6.28,8.61
2002,4,1,16.48,8.72,11.04
2002,4,2,15.76,6.45,7.96
2002,4,3,17.89,8.68,10.78
2002,4,4,12.15,9.32,11.76
2002,4,5,20.46,3.62,5.43
2002,4,6,21.41,7.46,10.31
2002,4,7,21.64,6.22,8.22
2002,4,8,20.71,5.46,7.42
2002,4,9,21.85,7.09,10.41
2002,4,10,23.01,8.46,11.52
2002,4,11,14.03,8.7,10.92
2002,4,12,13.54,6.34,8.73
2002,4,13,16.66,3.7,4.82
2002,4,14,13.19,5.23,6.66
2002,4,15,17.94,3.79,5.34
2002,4,16,21.38,3.59,5.07
2002,4,17,22.36,3.3,4.4
2002,4,18,23.01,6.27,7.71
2002,4,19,19.29,4.8,5.8
2002,4,20,21.57,4.66,6.29
2002,4,21,22.83,4.36,6.59
2002,4,22,20.83,4.88,7.14
2002,4,23,21.09,3.63,5.38
2002,4,24,23.6,4.01,5.66
2002,4,25,23.22,3.97,5.96
2002,4,26,24.56,3.16,4.34
2002,4,27,27.0,1.95,2.5
2002,4,28,27.83,3.85,5.27
2002,4,29,27.69,2.83,3.66
2002,4,30,27.91,2.61,3.64
2002,5,1,25.9,3.98,5.06
2002,5,2,23.04,5.48,6.91
2002,5,3,20.69,6.78,8.41
2002,5,4,21.22,4.38,5.73
2002,5,5,24.22,5.44,7.84
2002,5,6,20.3,6.41,8.04
2002,5,7,15.39,8.08,9.87
2002,5,8,20.81,4.28,5.47
2002,5,9,20.91,4.67,5.92
2002,5,10,16.68,6.98,8.59
2002,5,11,20.52,5.8,7.4
2002,5,12,25.09,4.21,6.22
2002,5,13,27.64,5.95,8.62
2002,5,14,30.08,3.98,5.52
2002,5,15,30.22,2.49,3.3
2002,5,16,31.92,3.34,4.8
2002,5,17,32.3,7.35,10.2
2002,5,18,29.64,4.38,5.61
2002,5,19,30.3,4.48,6.52
2002,5,20,30.93,5.01,7.41
2002,5,21,32.45,2.66,3.99
2002,5,22,31.85,4.61,6.19
2002,5,23,23.45,7.7,9.33
2002,5,24,30.47,3.79,5.7
2002,5,25,29.99,4.77,6.55
2002,5,26,28.87,4.21,5.7
2002,5,27,28.45,3.92,5.14
2002,5,28,29.86,5.33,6.23
2002,5,29,31.82,6.56,8.65
2002,5,30,31.42,7.53,10.17
2002,5,31,31.76,6.1,8.92
2002,6,1,32.51,5.39,7.95
2002,6,2,34.01,4.57,6.67
2002,6,3,34.74,5.88,8.18
2002,6,4,33.59,6.49,8.2
2002,6,5,26.78,5.84,6.91
2002,6,6,24.51,7.54,8.88
2002,6,7,25.58,6.11,7.82
2002,6,8,29.1,6.52,7.97
2002,6,9,25.74,4.78,6.16
2002,6,10,31.82,4.15,5.57
2002,6,11,34.0,2.95,3.85
2002,6,12,34.63,4.66,6.46
2002,6,13,34.57,5.34,7.91
2002,6,14,34.77,6.77,9.76
2002,6,15,33.96,6.79,9.45
2002,6,16,34.86,4.54,6.39
2002,6,17,34.42,3.85,5.45
2002,6,18,35.4,4.46,6.54
2002,6,19,34.72,4.85,7.21
2002,6,20,35.8,4.74,6.53
2002,6,21,36.9,4.81,6.47
2002,6,22,35.78,5.73,7.94
2002,6,23,34.19,5.15,7.2
2002,6,24,32.74,2.3,3.09
2002,6,25,34.48,5.77,8.15
2002,6,26,35.8,6.31,9.05
2002,6,27,35.66,5.52,8.39
2002,6,28,36.86,4.45,5.95
2002,6,29,37.13,5.2,6.86
2002,6,30,37.07,7.55,9.09
2002,7,1,28.43,6.5,7.42
2002,7,2,32.37,3.07,3.77
2002,7,3,36.05,1.86,2.66
2002,7,4,36.87,3.77,5.5
2002,7,5,36.69,3.82,5.27
2002,7,6,37.09,4.81,6.12
2002,7,7,37.8,4.77,6.43
2002,7,8,38.65,4.94,6.3
2002,7,9,36.98,3.97,5.02
2002,7,10,37.58,4.28,5.51
2002,7,11,38.85,5.11,6.6
2002,7,12,36.98,5.3,6.7
2002,7,13,32.05,5.5,7.3
2002,7,14,30.63,5.38,6.94
2002,7,15,33.14,4.32,5.93
2002,7,16,35.81,4.16,5.42
2002,7,17,38.08,3.58,4.91
2002,7,18,37.94,5.34,6.91
2002,7,19,37.93,5.1,6.63
2002,7,20,38.12,3.22,4.63
2002,7,21,39.37,3.19,4.64
2002,7,22,39.02,4.3,5.66
2002,7,23,39.12,5.01,6.24
2002,7,24,35.44,5.05,6.33
2002,7,25,36.84,4.29,5.84
2002,7,26,36.93,3.9,5.14
2002,7,27,36.66,2.99,4.27
2002,7,28,37.82,3.6,5.32
2002,7,29,37.12,4.34,5.96
2002,7,30,35.9,4.83,6.32
2002,7,31,33.45,2.94,3.97
2002,8,1,36.96,5.8,7.34
2002,8,2,37.82,7.79,10.34
2002,8,3,36.21,5.21,6.71
2002,8,4,35.01,4.29,5.89
2002,8,5,37.78,4.25,5.51
2002,8,6,37.3,5.11,6.34
2002,8,7,35.54,6.61,7.8
2002,8,8,36.16,4.59,5.66
2002,8,9,32.32,3.97,5.34
2002,8,10,31.33,5.81,7.84
2002,8,11,31.8,4.88,6.63
2002,8,12,34.82,3.89,5.59
2002,8,13,36.51,5.23,7.86
2002,8,14,37.68,4.61,6.26
2002,8,15,33.61,5.53,6.73
2002,8,16,32.74,5.13,6.7
2002,8,17,36.4,2.69,3.8
2002,8,18,36.73,5.34,6.82
2002,8,19,36.05,4.02,5.84
2002,8,20,35.38,4.44,5.73
2002,8,21,33.2,3.71,5.2
2002,8,22,31.93,3.49,5.19
2002,8,23,30.64,5.22,6.67
2002,8,24,28.26,4.51,5.47
2002,8,25,29.4,3.65,5.29
2002,8,26,28.19,4.88,6.5
2002,8,27,32.09,3.64,5.19
2002,8,28,29.95,5.89,7.91
2002,8,29,32.85,3.79,5.38
2002,8,30,27.98,4.17,5.78
2002,8,31,28.8,3.32,4.65
2002,9,1,29.25,3.04,4.16
2002,9,2,28.12,5.09,6.81
2002,9,3,30.14,3.59,4.84
2002,9,4,30.05,5.29,7.17
2002,9,5,28.95,4.24,6.45
2002,9,6,29.2,3.54,5.32
2002,9,7,30.08,2.79,4.23
2002,9,8,32.57,4.36,6.01
2002,9,9,31.12,3.45,5.34
2002,9,10,32.55,4.55,6.73
2002,9,11,30.2,2.92,4.48
2002,9,12,28.91,3.02,4.33
2002,9,13,32.58,5.17,7.84
2002,9,14,30.68,4.22,5.97
2002,9,15,31.19,4.86,7.15
2002,9,16,31.61,4.38,6.21
2002,9,17,30.98,5.63,7.88
2002,9,18,29.84,2.91,3.9
2002,9,19,31.65,4.45,6.09
2002,9,20,29.01,4.12,6.21
2002,9,21,29.62,4.58,6.27
2002,9,22,25.74,4.39,5.97
2002,9,23,23.49,4.42,6.17
2002,9,24,24.98,3.3,4.41
2002,9,25,28.78,3.98,5.34
2002,9,26,26.04,5.22,7.01
2002,9,27,24.73,3.72,5.55
2002,9,28,24.51,3.05,4.52
2002,9,29,25.31,2.45,3.62
2002,9,30,26.48,1.95,2.89
2002,10,1,25.37,5.23,7.11
2002,10,2,25.69,3.52,5.43
2002,10,3,26.59,3.33,5.0
2002,10,4,26.59,2.84,3.84
2002,10,5,26.68,3.02,4.41
2002,10,6,26.99,4.51,6.18
2002,10,7,26.64,2.91,3.98
2002,10,8,25.56,4.8,6.37
2002,10,9,19.71,3.7,5.28
2002,10,10,16.65,7.53,9.2
2002,10,11,19.52,6.12,8.41
2002,10,12,19.94,5.23,7.56
2002,10,13,23.77,2.32,3.44
2002,10,14,26.32,3.27,4.38
2002,10,15,26.54,3.37,4.91
2002,10,16,25.91,5.07,7.84
2002,10,17,25.75,4.64,6.95
2002,10,18,26.1,5.44,7.59
2002,10,19,28.9,4.67,7.2
2002,10,20,27.18,5.85,9.23
2002,10,21,28.63,6.13,8.92
2002,10,22,23.18,4.79,6.02
2002,10,23,20.4,4.81,6.31
2002,10,24,24.18,3.02,4.57
2002,10,25,24.85,2.03,2.91
2002,10,26,25.26,1.83,2.42
2002,10,27,24.77,2.48,3.42
2002,10,28,23.8,2.93,4.34
2002,10,29,22.05,4.04,5.93
2002,10,30,22.89,3.58,5.78
2002,10,31,22.0,3.77,5.19
2002,11,1,18.27,4.18,5.73
2002,11,2,19.93,2.79,4.34
